Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female
2022,Bono East,DISTRICT4861,4,5967,1788,3370,1940
2022,Oti,DISTRICT9645,1,6326,1356,3670,1961
2022,Oti,DISTRICT9645,2,7773,1145,2489,1805
2022,Oti,DISTRICT9645,3,5984,1589,2152,1739
2022,Oti,DISTRICT9645,4,7212,1918,3903,1087
2022,Oti,DISTRICT506,1,4091,1726,4146,1741
2022,Oti,DISTRICT506,2,3730,504,3438,1240
2022,Oti,DISTRICT506,3,4719,1287,1594,1941
2022,Oti,DISTRICT506,4,9368,821,2859,1983
2022,Oti,DISTRICT3046,1,2012,1595,4254,1772
2022,Oti,DISTRICT3046,2,3348,1407,3028,1438
2022,Oti,DISTRICT3046,3,8688,1602,3222,1535
2022,Oti,DISTRICT3046,4,8278,1959,2269,894
2022,Oti,DISTRICT7523,1,6106,1972,4710,1190
2022,Oti,DISTRICT7523,2,9243,811,3459,1651
2022,Oti,DISTRICT7523,3,2096,1533,4512,1252
2022,Oti,DISTRICT7523,4,1492,1286,2605,1688
2022,Ahafo,DISTRICT9038,1,3473,1312,3892,1114
2022,Ahafo,DISTRICT9038,2,3300,994,4966,1502
2022,Ahafo,DISTRICT9038,3,8403,1656,4222,1998
2022,Ahafo,DISTRICT9038,4,1352,510,4709,1142
2022,Ahafo,DISTRICT9155,1,5622,946,2436,1910
2022,Ahafo,DISTRICT9155,2,5302,826,1988,1265
2022,Ahafo,DISTRICT9155,3,4667,1851,1994,1016
2022,Ahafo,DISTRICT9155,4,8513,917,2981,1543
2022,Ahafo,DISTRICT132,1,4744,1997,2867,1464
2022,Ahafo,DISTRICT132,2,2061,904,3063,1737
2022,Ahafo,DISTRICT132,3,2423,1351,1389,1962
2022,Ahafo,DISTRICT132,4,6699,1468,3759,1117
2022,Ahafo,DISTRICT8411,1,9365,1957,2855,1515
2022,Ahafo,DISTRICT8411,2,5227,893,912,1714
2022,Ahafo,DISTRICT8411,3,8389,910,1573,937
2022,Ahafo,DISTRICT8411,4,3185,878,1622,1993
2022,Ahafo,DISTRICT8837,1,4606,1594,946,1097
2022,Ahafo,DISTRICT8837,2,8816,1633,2146,1493
2022,Ahafo,DISTRICT8837,3,2656,1536,2310,1561
2022,Ahafo,DISTRICT8837,4,8644,880,2317,1530
2022,Western North,DISTRICT1238,1,2349,1033,3884,810
2022,Western North,DISTRICT1238,2,3374,1043,3705,630
2022,Western North,DISTRICT1238,3,3678,522,2382,1381
2022,Western North,DISTRICT1238,4,7771,1515,1875,1451
2022,Western North,DISTRICT2011,1,1767,1979,3470,603
2022,Western North,DISTRICT2011,2,5484,552,3127,1232
2022,Western North,DISTRICT2011,3,1529,1734,3758,1987
2022,Western North,DISTRICT2011,4,4554,1972,1458,1633
2022,Western North,DISTRICT5335,1,1263,778,1192,1329
2022,Western North,DISTRICT5335,2,5723,1696,2030,1096
2022,Western North,DISTRICT5335,3,5966,888,2418,632
2022,Western North,DISTRICT5335,4,1222,1039,1041,1469
2022,North East,DISTRICT2050,1,4309,1583,2295,831
2022,North East,DISTRICT2050,2,4758,689,1422,1309
2022,North East,DISTRICT2050,3,8506,1078,2663,1234
2022,North East,DISTRICT2050,4,5221,656,4810,896
2023,Ashanti,DISTRICT361,1,5498,1988,1164,568
2023,Ashanti,DISTRICT361,2,8810,1736,4694,1097
2023,Ashanti,DISTRICT361,3,8266,1055,4219,1988
2023,Ashanti,DISTRICT361,4,4025,1357,953,1071
2023,Ashanti,DISTRICT144,1,4509,1488,2842,747
2023,Ashanti,DISTRICT144,2,2194,1935,3679,1819
2023,Ashanti,DISTRICT144,3,8274,949,1095,866
2023,Ashanti,DISTRICT144,4,9232,777,1480,711
2023,Ashanti,DISTRICT8483,1,4995,632,3026,1191
2023,Ashanti,DISTRICT8483,2,5057,1370,862,986
2023,Ashanti,DISTRICT8483,3,4459,1160,1842,1379
2023,Ashanti,DISTRICT8483,4,4817,1851,3533,1387
2023,Brong Ahafo,DISTRICT3189,1,7265,1654,4626,801
2023,Brong Ahafo,DISTRICT3189,2,7900,1125,1269,1331
2023,Brong Ahafo,DISTRICT3189,3,7753,1560,2632,1587
2023,Brong Ahafo,DISTRICT3189,4,9013,557,2257,851
2023,Brong Ahafo,DISTRICT5021,1,3275,1721,2520,658
2023,Brong Ahafo,DISTRICT5021,2,9961,1491,2709,1667
2023,Brong Ahafo,DISTRICT5021,3,2152,1069,1558,1480
2023,Brong Ahafo,DISTRICT5021,4,5664,637,2596,1903
2023,Brong Ahafo,DISTRICT5593,1,5382,1878,4853,1267
2023,Brong Ahafo,DISTRICT5593,2,3724,608,1253,963
2023,Brong Ahafo,DISTRICT5593,3,7177,877,3296,1957
2023,Brong Ahafo,DISTRICT5593,4,3471,1541,4936,1645
2023,Brong Ahafo,DISTRICT1915,1,4356,549,1749,1025
2023,Brong Ahafo,DISTRICT1915,2,9107,890,999,1741
2023,Brong Ahafo,DISTRICT1915,3,3494,1583,1885,836
2023,Brong Ahafo,DISTRICT1915,4,3571,1864,4184,1716
2023,Brong Ahafo,DISTRICT5132,1,2443,1335,2356,1949
2023,Brong Ahafo,DISTRICT5132,2,9226,1925,3745,1661
2023,Brong Ahafo,DISTRICT5132,3,9599,1718,3597,794
2023,Brong Ahafo,DISTRICT5132,4,3520,714,1284,730
2023,Central,DISTRICT5161,1,3967,1768,1618,628
2023,Central,DISTRICT5161,2,3906,1778,2143,1350
2023,Central,DISTRICT5161,3,2341,1891,2224,691
2023,Central,DISTRICT5161,4,1070,1458,3157,1098
2023,Central,DISTRICT2383,1,4953,1178,1730,1917
2023,Central,DISTRICT2383,2,9587,1830,3207,1091
2023,Central,DISTRICT2383,3,3661,1848,1981,1966
2023,Central,DISTRICT2383,4,8607,1773,1820,1323
2023,Central,DISTRICT8296,1,1616,1966,3506,1907
2023,Central,DISTRICT8296,2,2324,1985,3684,1221
2023,Central,DISTRICT8296,3,9656,1457,4685,1782
2023,Central,DISTRICT8296,4,3619,576,1863,1703
2023,Central,DISTRICT5080,1,9283,1872,3635,1724
2023,Central,DISTRICT5080,2,1546,1540,2715,1317
2023,Central,DISTRICT5080,3,4105,1755,1417,1194
2023,Central,DISTRICT5080,4,5216,1592,2142,1692
2023,Eastern,DISTRICT7176,1,7677,1695,2135,963
2023,Eastern,DISTRICT7176,2,9440,1112,4478,544
2023,Eastern,DISTRICT7176,3,6121,1704,3095,1848
2023,Eastern,DISTRICT7176,4,9831,993,1521,1880
2023,Eastern,DISTRICT5556,1,7134,799,2811,1407
2023,Eastern,DISTRICT5556,2,2872,637,3944,501
2023,Eastern,DISTRICT5556,3,1959,1229,1753,1341
2023,Eastern,DISTRICT5556,4,1023,1119,1527,759
2023,Eastern,DISTRICT2722,1,7843,1728,3891,752
2023,Eastern,DISTRICT2722,2,8807,604,3211,1313
2023,Eastern,DISTRICT2722,3,8814,965,3236,1270
2023,Eastern,DISTRICT2722,4,2632,520,1914,1704
2023,Eastern,DISTRICT1917,1,8863,1262,3760,1831
2023,Eastern,DISTRICT1917,2,8357,1513,820,634
2023,Eastern,DISTRICT1917,3,9909,1098,4585,981
2023,Eastern,DISTRICT1917,4,2013,1331,2618,1564
2023,Eastern,DISTRICT4686,1,5742,1645,3156,844
2023,Eastern,DISTRICT4686,2,1736,1305,1074,1526
2023,Eastern,DISTRICT4686,3,5142,1935,2991,679
2023,Eastern,DISTRICT4686,4,9805,1405,4578,689
2023,Greater Accra,DISTRICT1544,1,4012,615,4467,895
2023,Greater Accra,DISTRICT1544,2,9296,1725,4822,1479
2023,Greater Accra,DISTRICT1544,3,5649,801,1461,1736
2023,Greater Accra,DISTRICT1544,4,2320,1514,2543,1053
2023,Greater Accra,DISTRICT5869,1,9487,1324,3077,782
2023,Greater Accra,DISTRICT5869,2,7484,1763,3905,1707
2023,Greater Accra,DISTRICT5869,3,7374,764,3470,1017
2023,Greater Accra,DISTRICT5869,4,5125,956,3398,1610
2023,Greater Accra,DISTRICT3573,1,4528,1465,2313,1647
2023,Greater Accra,DISTRICT3573,2,5795,956,2235,1769
2023,Greater Accra,DISTRICT3573,3,8908,802,3101,1607
2023,Greater Accra,DISTRICT3573,4,2599,919,4047,1484
2023,Northern,DISTRICT1867,1,2759,654,2045,1769
2023,Northern,DISTRICT1867,2,3039,1583,4390,1978
2023,Northern,DISTRICT1867,3,1995,1826,4872,1891
2023,Northern,DISTRICT1867,4,2192,1800,3357,1696
2023,Northern,DISTRICT3542,1,3794,1110,2158,1195
2023,Northern,DISTRICT3542,2,5198,1304,1274,1247
2023,Northern,DISTRICT3542,3,9707,553,3988,814
2023,Northern,DISTRICT3542,4,6244,728,2174,1421
2023,Upper East,DISTRICT665,1,2399,1156,1982,1035
2023,Upper East,DISTRICT665,2,2856,1850,2150,1443
2023,Upper East,DISTRICT665,3,3435,1518,3065,962
2023,Upper East,DISTRICT665,4,3080,1243,1521,1212
2023,Upper West,DISTRICT5522,1,7365,1171,3762,1656
2023,Upper West,DISTRICT5522,2,1887,1849,1207,829
2023,Upper West,DISTRICT5522,3,3637,1942,4276,542
2023,Upper West,DISTRICT5522,4,2179,1651,955,1508
2023,Upper West,DISTRICT3062,1,5179,589,2923,1082
2023,Upper West,DISTRICT3062,2,3745,865,882,1628
2023,Upper West,DISTRICT3062,3,5956,684,2474,1593
2023,Upper West,DISTRICT3062,4,4464,1661,2399,1832
2023,Upper West,DISTRICT5368,1,6260,1350,2181,577
2023,Upper West,DISTRICT5368,2,3299,1828,4881,1216
2023,Upper West,DISTRICT5368,3,7324,1968,1475,1957
2023,Upper West,DISTRICT5368,4,1095,1562,1206,1415
2023,Upper West,DISTRICT1614,1,9269,1807,1385,1696
2023,Upper West,DISTRICT1614,2,3773,1000,1239,1192
2023,Upper West,DISTRICT1614,3,7849,557,3596,557
2023,Upper West,DISTRICT1614,4,6298,963,2835,880
2023,Volta,DISTRICT666,1,8590,1339,2729,1395
2023,Volta,DISTRICT666,2,3646,1253,2596,1587
2023,Volta,DISTRICT666,3,8724,1338,2322,1259
2023,Volta,DISTRICT666,4,2427,1196,1843,729
2023,Volta,DISTRICT3638,1,6241,1291,4483,1693
2023,Volta,DISTRICT3638,2,1753,1110,1494,812
2023,Volta,DISTRICT3638,3,2501,885,4125,963
2023,Volta,DISTRICT3638,4,1990,1165,4617,1020
2023,Western,DISTRICT939,1,4932,1317,3759,822
2023,Western,DISTRICT939,2,3739,521,4372,1456
2023,Western,DISTRICT939,3,4030,813,2372,1654
2023,Western,DISTRICT939,4,2538,694,2700,1573
2023,Western,DISTRICT1361,1,4175,679,1051,894
2023,Western,DISTRICT1361,2,6129,538,1498,1554
2023,Western,DISTRICT1361,3,4931,1004,1677,1186
2023,Western,DISTRICT1361,4,3280,903,2254,1139
2023,Western,DISTRICT7338,1,6912,1965,2277,1529
2023,Western,DISTRICT7338,2,9562,1451,1716,1551
2023,Western,DISTRICT7338,3,1188,1469,4407,1214
2023,Western,DISTRICT7338,4,9657,744,3616,1754
2023,Western,DISTRICT6430,1,3500,1641,4293,1190
2023,Western,DISTRICT6430,2,3557,1838,891,942
2023,Western,DISTRICT6430,3,8875,1171,4195,533
2023,Western,DISTRICT6430,4,9170,1027,1141,866
2023,Savannah,DISTRICT3095,1,6587,1136,3764,954
2023,Savannah,DISTRICT3095,2,6774,572,2672,1205
2023,Savannah,DISTRICT3095,3,9665,550,4191,1453
2023,Savannah,DISTRICT3095,4,2357,578,4894,1345
2023,Savannah,DISTRICT7440,1,4417,659,2115,935
2023,Savannah,DISTRICT7440,2,6514,1269,2238,1190
2023,Savannah,DISTRICT7440,3,7210,1967,2852,860
2023,Savannah,DISTRICT7440,4,3164,737,4515,1306
2023,Bono East,DISTRICT8188,1,4357,692,3680,949
2023,Bono East,DISTRICT8188,2,3406,1324,2191,542
2023,Bono East,DISTRICT8188,3,4982,1140,2294,1643
2023,Bono East,DISTRICT8188,4,1557,1433,4757,916
2023,Bono East,DISTRICT6481,1,1470,1195,3032,1216
2023,Bono East,DISTRICT6481,2,5685,548,4285,1556
2023,Bono East,DISTRICT6481,3,4891,1739,1870,733
2023,Bono East,DISTRICT6481,4,8188,1772,4796,1263
2023,Bono East,DISTRICT5499,1,8327,1811,1956,1102
2023,Bono East,DISTRICT5499,2,1059,764,3594,666
2023,Bono East,DISTRICT5499,3,8508,804,4217,1225
2023,Bono East,DISTRICT5499,4,8203,1292,1022,1475
2023,Bono East,DISTRICT6986,1,5894,552,3156,1800
2023,Bono East,DISTRICT6986,2,4789,1682,3793,1806
2023,Bono East,DISTRICT6986,3,1563,1211,4768,1374
2023,Bono East,DISTRICT6986,4,5235,1130,2960,1082
2023,Oti,DISTRICT3808,1,2448,1115,2868,572
2023,Oti,DISTRICT3808,2,4635,1283,1588,1329
2023,Oti,DISTRICT3808,3,8580,1427,1329,1254
2023,Oti,DISTRICT3808,4,8774,1149,4980,1944
2023,Oti,DISTRICT4587,1,5718,1854,3612,1323
2023,Oti,DISTRICT4587,2,6676,502,2946,630
2023,Oti,DISTRICT4587,3,6660,997,2476,1274
2023,Oti,DISTRICT4587,4,7973,1236,972,1852
2023,Oti,DISTRICT8697,1,3329,1039,1159,1493
2023,Oti,DISTRICT8697,2,1604,659,4989,860
2023,Oti,DISTRICT8697,3,6507,913,3677,1660
2023,Oti,DISTRICT8697,4,5292,1252,3666,1204
2023,Oti,DISTRICT3751,1,1311,1434,1764,1943
2023,Oti,DISTRICT3751,2,7061,1180,2399,560
2023,Oti,DISTRICT3751,3,7621,1731,3550,821
2023,Oti,DISTRICT3751,4,6187,1170,3556,1446
2023,Ahafo,DISTRICT5073,1,9718,1302,1790,1265
2023,Ahafo,DISTRICT5073,2,3895,1932,1808,1589
2023,Ahafo,DISTRICT5073,3,7004,1061,2819,908
2023,Ahafo,DISTRICT5073,4,3248,1361,1292,1109
2023,Ahafo,DISTRICT5513,1,7939,1424,2303,1031
2023,Ahafo,DISTRICT5513,2,2023,1560,1092,1201
2023,Ahafo,DISTRICT5513,3,9917,1309,1697,1337
2023,Ahafo,DISTRICT5513,4,7810,1195,3596,1950
2023,Ahafo,DISTRICT4423,1,9948,1704,1992,1841
2023,Ahafo,DISTRICT4423,2,9785,1104,1303,916
2023,Ahafo,DISTRICT4423,3,5835,1924,3049,951
2023,Ahafo,DISTRICT4423,4,5654,817,1470,878
2023,Ahafo,DISTRICT3412,1,7306,1457,3162,1893
2023,Ahafo,DISTRICT3412,2,9607,918,869,1721
2023,Ahafo,DISTRICT3412,3,6839,1480,4866,1151
2023,Ahafo,DISTRICT3412,4,3243,1274,4154,1831
2023,Ahafo,DISTRICT6024,1,1261,1732,2201,822
2023,Ahafo,DISTRICT6024,2,8023,891,831,1350
2023,Ahafo,DISTRICT6024,3,9513,1408,817,1829
2023,Ahafo,DISTRICT6024,4,4454,1875,1443,1378
2023,Western North,DISTRICT2932,1,8083,1575,1438,1266
2023,Western North,DISTRICT2932,2,7199,1544,4479,723
2023,Western North,DISTRICT2932,3,8967,1922,2035,1132
2023,Western North,DISTRICT2932,4,6952,1352,2553,942
2023,Western North,DISTRICT8252,1,1812,696,1001,1113
2023,Western North,DISTRICT8252,2,6636,889,4526,1751
2023,Western North,DISTRICT8252,3,9084,1028,3298,740
2023,Western North,DISTRICT8252,4,2110,794,3023,1990
2023,Western North,DISTRICT1913,1,5264,1187,3503,1751
2023,Western North,DISTRICT1913,2,1562,1016,1342,1704
2023,Western North,DISTRICT1913,3,5273,686,2312,1551
2023,Western North,DISTRICT1913,4,8685,969,4520,923
2023,Western North,DISTRICT5166,1,6621,1517,4713,1228
2023,Western North,DISTRICT5166,2,8145,1846,1612,920
2023,Western North,DISTRICT5166,3,6970,1714,1644,1640
2023,Western North,DISTRICT5166,4,2063,1877,1961,1759
2023,Western North,DISTRICT8653,1,3279,1609,3514,1875
2023,Western North,DISTRICT8653,2,5147,1861,2695,1583
2023,Western North,DISTRICT8653,3,6174,1588,4893,1207
2023,Western North,DISTRICT8653,4,6426,1878,4486,1189
2023,North East,DISTRICT558,1,7240,1819,4153,1400
2023,North East,DISTRICT558,2,4354,638,4700,1606
2023,North East,DISTRICT558,3,6323,1076,1829,1966
2023,North East,DISTRICT558,4,5925,1308,4675,612
